# intensidade (micro A)
# angulo (º)
# voltaxe (V)
12.650,12.800,12.270,12.200,11.980,11.515,11.370,10.807,10.525,9.800,9.330,8.880,8.330,7.770,7.099,6.446,6.399#,6.140#,6.050
0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80#,85#,90
5.218,5.219,5.226,5.235,5.241,5.245,5.250,5.254,5.261,5.274,5.279,5.285,5.290,5.293,5.300,5.309,5.307#,5.312,5.315
