I (micro A), Angulo (º), V (V)
9.610,0,5.253
9.670,5,5.273
9.590,10,5.277
9.420,15,5.283
9.143,20,5.285
8.800,25,5.590
8.505,30,5.293
7.900,35,5.300
7.470,40,5.306
6.850,45,5.314
6.250,50,5.320
5.563,55,5.328
4.890,60,5.334
4.250,65,5.343
3.620,70,5.351
3.070,75,5.358
2.440,80,5.364
2.160,85,5.368
1.920,90,5.369
