I (micro A), Angulo (º), V (V)
12.650,0,5.218
12.800,5,5.219
12.270,10,5.226
12.200,15,5.235
11.980,20,5.241
11.515,25,5.245
11.370,30,5.250
10.807,35,5.254
10.525,40,5.261
9.800,45,5.274
9.330,50,5.279
8.880,55,5.285
8.330,60,5.290
7.770,65,5.293
7.099,70,5.300
6.446,75,5.309
6.399,80,5.307
6.140,85,5.312
6.050,90,5.315
